SpeciesName,Plant,Grass,Nfix,RGR,SLA,LA_LP,LAR,LC,LCN,sLDen,LDMC,LDM_P,LWR,LMPR,LN_LA,LN,LNU,RC,RCN,RDia,RDM_P,RL,SRL,RN,RNU,RA_P,SRA,RDen,SDM_P,SRR
Achillea millefolium,achmil,0,0,0.263187914,151.3436971,0.028,79.32240989,38.90245817,38.10024339,0.240570637,0.15003708,3.92,0.50030699,0.685631,1.013660123,1.343049036,9.452956683,41.24419738,46.68847073,0.222,3.124,55747.3999,19389.84001,0.889769247,16.86169017,3868.310714,1326.253758,0.135,9.85,3.153008963
Bromus erectus,broere,1,0,0.1251168,153.5695637,0.038,108.9571743,42.37204548,20.20274392,0.458458011,0.245090249,4.1,0.691965748,0.286416,1.322931625,2.122065922,21.80054014,33.68079211,46.5627561,0.1795,6.676,148252.4712,23224.67533,0.732202598,31.62462063,8413.496028,1305.37526,0.1665,6.06,0.907729179
Bromus hordeaceus,brohor,1,0,0.195976463,206.6813817,0.0825,113.5464933,41.85804238,29.1869358,0.521473112,0.200990986,4.342,0.567148537,0.6406725,1.039115591,2.276767113,14.4967457,39.73283434,46.45876321,0.15,7.046,345067.2158,51889.81612,0.860972888,25.10189386,16805.83738,2393.827418,0.1085,7.436,1.055350554
Carum carvi,carcar,0,0,0.12201875,468.0421318,0.01,466.8221706,40.98861051,12.51092025,0.316574561,0.197406591,1.428,0.991502683,0.04075,1.584753767,3.57851491,16.21706985,41.79693115,27.49865398,0.2305,1.016,22488.28484,32727.68712,1.784798046,17.99612965,1585.917144,2319.937284,0.117,1.434,1.411417323
Centaurea jacea,cenjac,0,0,0.184296828,202.7802853,0.49,176.9993038,40.09046029,12.95897326,0.152659839,0.275361983,2.722,0.74920385,0.702756667,1.869880062,3.355794516,12.9959861,44.18867797,30.39291097,0.3045,2.99,33137.05346,11394.8437,1.516250975,22.69441612,2826.501476,1054.818458,0.156,5.274,1.763879599
Cirsium oleraceum,cirole,0,0,0.173449302,132.9298835,0.202,122.3654499,36.16367548,27.67266841,0.272884786,0.127983542,6.968,0.92245875,0.418906,0.996088937,1.318839103,17.02640803,41.26471968,57.92036691,0.261,10.7,134014.626,12411.56776,0.712100511,26.55589892,10766.39659,1011.976171,0.1605,7.522,0.702990654
Crepis biennis,crebie,0,0,0.201938261,235.48022,0.23,226.4930446,40.05849817,26.24136264,0.263706198,0.138704672,8.074,0.959796564,0.441362,0.687118868,1.622596788,18.29290562,46.37649848,61.22803684,0.2925,16.098,232996.1712,17003.49581,1.022761651,38.36271893,21437.51375,1525.820447,0.099,8.424,0.523294819
Dactylis glomerata,dacglo,1,0,0.212129591,174.6819324,0.07,104.6718002,42.54604529,34.52957543,0.435527932,0.285072978,10.764,0.561337974,0.918454,0.725323743,1.287919096,23.11357432,48.77958223,88.90166786,0.1495,15.446,529780.7967,35108.42029,0.546575833,37.36094483,24220.27979,1597.250487,0.17,19.234,1.245241486
Festuca pratensis,fespra,1,0,0.187009491,185.7781416,0.055,104.8505852,41.30825527,24.16307635,0.367776837,0.220366543,5.452,0.570526801,0.481212,0.976703731,1.741126421,21.73484928,46.79294273,68.64140221,0.156,8.842,277013.087,31366.88442,0.705424759,27.51448659,13329.19745,1510.894699,0.182,9.592,1.084822438
Festuca rubra,fesrub,1,0,0.177159408,89.81588738,0.024,68.93546364,41.52412822,30.73703182,0.677289552,0.274644109,8.236,0.740549253,0.563712,1.590891637,1.377565271,18.02031889,48.99207503,70.62246264,0.1515,9.074,299747.3618,33692.36741,0.716770786,29.97005312,14190.98913,1588.349284,0.1675,11.402,1.256557196
Lathyrus pratensis,latpra,0,1,0.100743217,262.2759707,0.68,195.8272226,45.06743065,21.01673141,0.321795923,0.237344154,2.176,0.747632919,0.069598,1.267171256,3.260898799,7.868324626,42.29762083,12.61268609,0.4095,1.964,12489.36789,6329.727228,3.414904517,22.31085513,1502.919337,766.8377976,0.141833333,2.96,1.50712831
Leontodon autumnalis,leoaut,0,0,0.217730989,247.9995593,0.056666667,50.96072195,40.22851831,28.53344496,0.333084195,0.143124278,1.9475,0.233568649,0.0875,0.698201329,1.684401403,8.037640095,40.7739642,38.56540687,0.24375,1.27,36098.66677,30261.12581,1.236190502,13.94366619,2797.486606,2285.715098,0.078125,7.97,6.275590551
Leucanthemum vulgare,leuvul,0,0,0.22316322,130.2544409,0.304,123.1675972,41.05411855,28.71620616,0.246389984,0.171223368,9.348,0.94205616,0.532634,1.134694131,1.476729579,21.16909117,44.80016696,47.65603152,0.239,7.678,156814.1476,21202.47112,0.979045713,34.20987427,11462.42812,1574.288229,0.2115,10.04,1.307632196
Lotus corniculatus,lotcor,0,1,0.186816128,195.9321525,0.4775,81.67558229,43.48698972,12.02279348,0.309033883,0.088515651,4.278,0.435438693,0.0703025,1.875287206,3.619203971,12.0817039,43.38771615,15.51157422,0.327,2.63,23180.53414,9370.839477,2.89961751,26.88902522,2349.27441,945.9182876,0.1415,9.65,3.669201521
Luzula campestris,luzcam,0,0,0.104458631,246.825,NA,188.7227273,NA,NA,NA,NA,0.045,0.772727273,NA,1.305379092,3.337201649,0.683516387,NA,NA,0.13625,0.015,1044.66731,67783.22938,NA,NA,39.94836692,2625.730636,0.19375,0.07,4.666666667
Onobrychis viciifolia,onovic,0,1,0.09713144,134.3808926,0.036,130.9382562,45.28490349,13.94033481,0.467236508,0.209797075,6.448,0.974590853,0.326322,2.433732361,3.252726156,19.70747701,34.6801532,14.20271818,0.3845,3.63,36539.77304,9858.476119,2.487199733,38.40289777,4306.911877,1165.846253,0.093,6.642,1.829752066
Phleum pratense,phlpra,1,0,0.197658818,199.0805068,0.1,55.08149754,45.67347529,25.69449163,0.459658288,0.255269037,8.332,0.265524448,0.44383,0.876620305,1.791998679,21.32808076,40.23282577,54.71475038,0.14,11.158,427835.0099,40296.52359,0.739579829,36.13321427,19121.33011,1787.873103,0.15,33.874,3.035848718
Plantago lanceolata,plalan,0,0,0.199380293,185.0373569,0.304,70.23683133,39.8611966,44.23012961,0.220561301,0.145187272,5.078,0.384593134,0.233378,0.661270953,1.204267518,9.837161467,43.14926209,40.61265951,0.209833333,2.838,77691.80942,26916.16557,1.073944289,16.45601463,5054.52599,1748.300144,0.115833333,13.14,4.630021142
Plantago media,plamed,0,0,0.185706286,189.7593919,0.75,97.28277146,37.79516644,15.53138378,0.187166332,0.119625822,2.662,0.500631841,0.09404,1.347834911,2.54239591,16.9101948,42.00148,20.8762822,0.2255,0.86,22452.17801,26182.98886,2.097373175,16.72552063,1520.813997,1788.321622,0.102,5.92,6.88372093
Poa pratensis,poapra,1,0,0.245211158,163.8103935,0.05,118.2481377,38.70864035,19.37614331,0.580308289,0.27202049,4.6875,0.720098274,0.3045,1.168430635,1.880892219,29.32126679,40.82476131,61.83238812,0.139375,6.455,432130.0174,65208.15763,0.683864363,35.06176287,19561.85246,2870.522141,0.116875,6.49,1.005422153
Poa trivialis,poatri,1,0,0.24833961,313.032381,0.0556,78.36384844,40.76685773,20.17631896,0.286397577,0.264094357,2.016666667,0.249960525,0.5717862,0.720025855,2.064853182,11.3082741,42.0653216,42.45913481,0.112,2.85,214792.0974,70669.98163,1.090145126,18.06761938,7385.784643,2510.782549,0.1255,7.81,2.740350877
Rumex acetosa,rumace,0,0,0.198569154,134.2234764,0.664,124.7065094,41.32000493,31.78532669,0.285997529,0.13765166,14.312,0.925436162,0.65504,0.970120429,1.311246866,29.70503605,43.19156032,68.28564823,0.183,20.986,202802.4607,9699.324542,0.638533372,57.85465593,11620.08087,556.4394526,0.423,15.322,0.730105785
Sanguisorba officinalis,sanoff,0,0,0.105709689,181.8883964,NA,174.697141,40.39058637,15.22738409,0.345205673,0.81197479,2.328,0.959619119,NA,1.565127448,2.760745121,17.52396029,42.59979748,38.3481552,0.257,2.78,16060.12441,11565.90252,1.320614791,27.07289663,1249.636081,899.4513169,0.234666667,2.404,0.864748201
Taraxacum officinale,taroff,0,0,0.260038734,197.0357532,0.13,193.2215676,39.32700314,19.69186111,0.373855491,0.14093599,4.12,0.979561686,0.261592,1.106073564,2.087332498,19.5165005,43.83607452,52.51854501,0.2585,12.242,97096.10124,15510.14888,0.954217203,39.45450191,7728.842204,1183.01017,0.27,4.2,0.343081196
Tragopogon pratensis,trapra,0,0,0.141892228,136.3287593,0.05,134.8489586,41.99901232,12.42745309,0.43606117,0.134232589,2.318,0.988043851,0.082462,2.551271926,3.39402252,14.26791916,44.7323052,23.64505743,0.2985,3.442,45577.52438,16802.91189,2.030344663,28.00872429,4182.060725,1532.540801,0.1275,2.348,0.682161534
Trifolium fragiferum,trifla,1,0,0.18935692,227.8535943,0.672,134.8468304,42.82539073,20.59022255,0.376480152,0.223580222,8.102,0.583848993,0.205236,1.248728851,3.055751008,15.52702531,43.43213014,15.33768935,0.2825,2.6,31482.27269,57551.53873,2.830978357,31.9314378,2808.26398,1097.578611,0.109,13.612,5.235384615
Trifolium hybridum,trihyb,0,1,0.167873646,227.4597482,0.986,128.09138,44.49488798,17.12164298,0.310675452,0.218264873,11.27,0.568995384,0.31172,1.45190309,3.433312941,11.20656796,40.54673406,15.01491276,0.2745,4.352,87020.0123,21299.72849,2.868342102,23.95649867,7548.347741,1808.269914,0.087,21.814,5.012408088
Trifolium pratense,tripra,0,1,0.183415023,199.9576803,1.054,58.86640325,43.69136094,12.0460937,0.4023543,0.218665545,5.654,0.294792545,0.26116,1.845085996,3.696870601,12.38678026,40.99465324,18.37513938,0.236,4.352,66548.72888,17800.6988,2.490495721,25.37480871,4931.794387,1268.683976,0.216,19.698,4.526194853
Veronica chamaedrys,vercha,0,0,0.166171381,202.0976667,0.916,100.8411552,42.63980831,23.89846513,0.364441388,0.206289557,2.166,0.524748264,0.160462,0.909588109,1.855356025,12.07830496,42.79164898,40.38795386,0.15,2.008,100057.2504,52934.81406,1.082845499,17.58920029,4555.601337,2409.517336,0.1035,3.676,1.830677291
Vicia cracca,viccra,0,1,0.109919156,250.2363342,0.026,173.7626683,44.9629502,23.24482792,0.278552704,0.19579898,4.118,0.708009279,0.196614,1.413863419,3.010472845,4.428578002,41.90870368,15.79693661,0.4325,5.112,20893.72106,3959.825061,2.70788651,32.3365174,2806.676518,531.459113,0.205,5.83,1.140453834
